source_block,cue_id,start_seconds,end_seconds,text
302,302,862.81,865.3,decía porque a mí o sea porque no puedo
303,303,865.3,868.12,elegir algo tan básico al decir me gusta
304,304,868.12,871.63,esa vieja no porque tal ayudas es bueno
305,305,871.63,874.12,pues era como algo muy básico porque era
306,306,874.12,875.8,cuestión de gustos pero no era a mí no
307,307,875.8,878.17,me gustó no era tan fácil de elegir
308,308,878.17,881.77,entonces hoy en día en mi presente algo
309,309,881.77,884.53,que valoro mucho es la lealtad entonces
310,310,884.53,886.54,cuando yo sobre lo dicho yo no soy fiel
311,311,886.54,890.41,yo soy leal entonces hoy en día de que
312,312,890.41,893.53,valoro tanto tanto la lealtad porque
313,313,893.53,895.63,nadie puede venir a decirme que es la
314,314,895.63,898.21,lealtad cuando yo a mis 12 años y contra
315,315,898.21,900.7,toda mi familia contra el mundo o sea y
316,316,900.7,902.77,me impuse y dije yo soy esto y así las
317,317,902.77,904.96,cosas y inameh
318,318,904.96,908.08,o sea y fui contra contra todo no es
319,319,908.08,911.38,como él como el consejo que puedo dar no
320,320,911.38,913.12,se requiere mucho valor pero es lo que
321,321,913.12,915.34,se va a los que llegan porque es un
322,322,915.34,917.47,infierno vivirse aparentando ser que no
323,323,917.47,920.65,eres sabes el tema desde ya cuando una
324,324,920.65,922.39,identidad viene porque aquí a los 12
325,325,922.39,925.03,años entiendo que tú sales del closet
326,326,925.03,928.39,como niño gay o corrector y ya después
327,327,928.39,930.46,de cuántos años pasó lo de que bueno
328,328,930.46,932.22,ahora sí soy si me gustan los hombres
329,329,932.22,935.53,pero resulta que yo no soy un hombre es
330,330,935.53,937.99,que mira fíjate que es como muy con o
331,331,937.99,941.29,realmente porque mucho tiempo incluso
332,332,941.29,943.45,apenas no tiene mucho que ver que grecia
333,333,943.45,946.81,no que le escribieron que como como
334,334,946.81,949.54,lidia vas con tú con tu batalla de estar
335,335,949.54,952.24,en tu cuerpo y ella lo único que dijo
336,336,952.24,954.279,fue es que no tienes que estar en una ya
337,337,954.279,956.5,contigo misma tú no eres tu rival tú no
338,338,956.5,959.47,tienes que pelear contigo entonces es
339,339,959.47,963.22,justo eso no yo recuerdo que cuando yo
340,340,963.22,965.41,era muy niño desde el kinder me acuerdo
341,341,965.41,968.05,esté toda la vida llamado gloria trevi
342,342,968.05,970.649,toda la vida me encanta bueno
343,343,970.649,973.36,correctamente me gustaba más la atrevida
344,344,973.36,975.67,/ es la verdad a mí a mí me encantado
345,345,975.67,978.37,con el medio que la chamarra en la en la
346,346,978.37,980.98,cabeza y cantar pelo suelto y su verbal
347,347,980.98,983.05,escritorio del maestro a las villas
348,348,983.05,985.93,entonces yo desde el suicidio o sea me
349,349,985.93,987.339,acuerdo que a mí me gustaban hacer esas
350,350,987.339,989.68,cosas me acuerdo también que por ejemplo
351,351,989.68,992.47,en la primaria había un niño que me
352,352,992.47,995.38,gustaba no yo siempre lo supe pero al
353,353,995.38,998.889,final él en el lugar donde crecí y en el
354,354,998.889,1001.35,tiempo también el que crecí todavía como
355,355,1001.35,1003.42,que la homofobia estaba como muy latente
356,356,1003.42,1005.73,no entonces yo ya sabía que el que me
357,357,1005.73,1008.279,gustara ese niño era estar mal no
358,358,1008.279,1009.75,entonces desde ahí te vas como
359,359,1009.75,1011.43,reprimenda reprimiendo reprimiendo
360,360,1011.43,1013.56,reprimiendo premiando y entonces ahí es
361,361,1013.56,1015.629,cuando realmente tienes que hacer como
362,362,1015.629,1018.12,este análisis porque a mí me ha costado
363,363,1018.12,1020.71,mucha terapia por ejemplo es
364,364,1020.71,1023.11,muchas la nación y demás es cuando me
365,365,1023.11,1026.17,topo con un terapeuta me dice como
366,366,1026.17,1027.79,exponiéndole en mi vida me dices que
367,367,1027.79,1029.89,mucho por trabajar porque es muy fácil
368,368,1029.89,1033.67,decir eres atrás y ya no hay que ver que
369,369,1033.67,1036.76,algo que todo el contexto no porque
370,370,1036.76,1039.61,bueno yo puedo decir no me sentía a
371,371,1039.61,1042.49,gusto con mi cuerpo pero entonces
372,372,1042.49,1045.339,necesito realmente hacer un análisis si
373,373,1045.339,1048.58,no me gustaba mi cuerpo o no me gustaba
374,374,1048.58,1051.4,lo que me estaba hacer haciendo sentir
375,375,1051.4,1053.26,en ese momento de mi infancia por
376,376,1053.26,1056.11,culparme por yo saber que estaba mal y
377,377,1056.11,1058.27,aún así hacerlo sin yo tener la culpa si
378,378,1058.27,1060.22,me explico entonces desde ahí puede
379,379,1060.22,1062.7,generar como un tipo de
380,380,1062.7,1065.32,resistencia y no a lo mejor no sobre mi
381,381,1065.32,1067.09,cuerpo sino simplemente a lo mejor como
382,382,1067.09,1069.52,mental es que está mal que un niño me
383,383,1069.52,1071.89,guste y desde ahí te empiezas a culpar
384,384,1071.89,1073.9,imagínate tú en la primaria yo en mi
385,385,1073.9,1075.91,caso segundo de primaria estamos
386,386,1075.91,1078.25,diciendo que son que siete años seis
387,387,1078.25,1080.95,años y realizara culparte por algo tan
388,388,1080.95,1084.31,fuerte que es pecado que está mal que no
389,389,1084.31,1086.59,sé qué es algo realmente muy fuerte
390,390,1086.59,1088.75,entonces hoy en día puedo decir que en
391,391,1088.75,1091.36,cuestión de identidad de género para mí
392,392,1091.36,1093.85,es complicado no está definido
393,393,1093.85,1095.62,completamente porque es algo de lo que
394,394,1095.62,1099.07,le tengo mucho respeto a ver cómo lo
395,395,1099.07,1100.69,decía el psicólogo es muy fácil ponerte
396,396,1100.69,1102.76,en falda pero realmente quién eres con
397,397,1102.76,1105.52,esa falda y quién eres y en esa falda
398,398,1105.52,1107.13,entonces me ha costado
399,399,1107.13,1111.01,27 años esta identidad porque ya llevo
400,400,1111.01,1112.93,una vida gallego amigos llevo familia o
401,401,1112.93,1115.9,se llevó una imagen o sea entonces no se
402,402,1115.9,1118.08,trata solamente de ir a ponerte chichis
403,403,1118.08,1121.69,sino realmente el saber que las quieres
404,404,1121.69,1125.35,o realmente estar 100% seguro segura de
405,405,1125.35,1129.19,que lo que te la tienes esa infancia es
406,406,1129.19,1131.05,la realidad en cuestión personal
407,407,1131.05,1133.39,industrial emocional y hermano lo que
408,408,1133.39,1135.73,menos quiero es chingar me sabe vuelve a
409,409,1135.73,1136.36,lo mismo
410,410,1136.36,1138.34,hoy en día te digo me voy me pongo mi
411,411,1138.34,1140.59,falda y la pongo la revista si bien
412,412,1140.59,1142.57,perrita me encanta porque aparte me
413,413,1142.57,1145.81,gusta y demás y la next a mí me gustó
414,414,1145.81,1149.49,mucho como soy entonces este es un poder
415,415,1149.49,1151.86,inmediato no el que me da pero
416,416,1151.86,1154.59,normalmente lo he ocupado en su mayoría
417,417,1154.59,1157.14,de veces para salir de noche no sé de
418,418,1157.14,1158.909,que en ese entonces cuando cantaba y
419,419,1158.909,1161.25,estaba ya en un escenario y el hecho de
420,420,1161.25,1164.909,transformarme y no ser yo era liberador
421,421,1164.909,1168.6,saber era hijo el eje es es mágico o sea
422,422,1168.6,1170.64,esto es no siendo tú y no porque estaba
423,423,1170.64,1173.4,imitando simplemente desde la desde la
424,424,1173.4,1175.86,caracterización desde el maquillaje ya
425,425,1175.86,1177.57,no eres tú ya te atreves como hacer
426,426,1177.57,1179.64,cosas diferentes si puedes ir que es un
427,427,1179.64,1181.83,empoderamiento diferente o al menos así
428,428,1181.83,1183.87,lo veía en su momento de noche cuando
429,429,1183.87,1185.58,salía yo con mis amigas a bailar cuando
430,430,1185.58,1187.89,de pronto se te acercan a ligar ella te
431,431,1187.89,1189.75,invitaron esto que ya te pagaron ya
432,432,1189.75,1192.6,sabes es como abogados pero qué es lo
433,433,1192.6,1193.98,que puede ser el día cuando te tienes
434,434,1193.98,1195.72,que enfrentar a los niños cuando te
435,435,1195.72,1197.7,tienes que enfrentar a los güeyes
436,436,1197.7,1200.25,borrachos de la calle a los alucino casa
437,437,1200.25,1203.37,a todo o no qué pasaría incluso si te
438,438,1203.37,1205.74,enfrentas en tu mismo trabajo o sea
439,439,1205.74,1207.24,imagina que estás en tu trabajo
440,440,1207.24,1210.51,tranquilamente una mamá local piensa que
441,441,1210.51,1212.28,estoy dando mal ejemplo hoy por ese mal
442,442,1212.28,1215.34,ejemplo hacen que me corran o sea chad
443,443,1215.34,1218.009,cuotas donde digo yo admiro de verdad a
444,444,1218.009,1221.399,las personas que ya iniciaron como yo
445,445,1221.399,1223.919,también encima reciente y claro
446,446,1223.919,1225.99,os admiro como mucho esa valentía y
447,447,1225.99,1228.029,demás yo en el en el ramo en el que
448,448,1228.029,1230.789,estoy realmente no he tenido problema en
449,449,1230.789,1233.399,cuestión laboral porque yo aparte de
450,450,1233.399,1235.74,cantar me dedico a poner uñas y hago
451,451,1235.74,1237.99,poquitos estilismo importante soy
452,452,1237.99,1239.58,estilista josie técnica no años y soy
453,453,1239.58,1240.92,muy perra por cierto
454,454,1240.92,1242.41,[Música]
455,455,1242.41,1246.08,[Risas]
456,456,1246.08,1249.809,si te lo juro que hay 26 años poniendo
457,457,1249.809,1251.22,uñas por ejemplo y la vez que las
458,458,1251.22,1252.66,trabajo bastante bien trabajo por
459,459,1252.66,1254.25,ejemplo en una buena zona que un pueblo
460,460,1254.25,1256.83,me ha costado poder trabajar en ese
461,461,1256.83,1258.99,lugar y además wen la en esa zona que
462,462,1258.99,1260.789,puedan pagar mi trabajo y demás por
463,463,1260.789,1261.96,ejemplo también estoy aprendiendo del
464,464,1261.96,1265.289,tarot lo del canto o hago venta hacen
465,465,1265.289,1269.16,todo podemos decir entonces que romina
466,466,1269.16,1272.7,es únicamente un personaje o si la
467,467,1272.7,1275.49,consideras tu identidad de género es
468,468,1275.49,1278.16,decir el travestismo tú lo experimentas
469,469,1278.16,1281.07,más como una identidad de género o como
470,470,1281.07,1283.59,una expresión de vigo espero no ofender
471,471,1283.59,1286.5,te con esta pregunta yo yo creo que está
472,472,1286.5,1288.179,bien o sea por ejemplo el mito del
473,473,1288.179,1289.62,tiempo de paso en el trabajo es que como
474,474,1289.62,1292.83,te digo el ella o sea a ver no tengo
475,475,1292.83,1296.25,tema mi nombre es este o sea como si tú
476,476,1296.25,1298.02,sientes que me voy a enojar no tengo
477,477,1298.02,1300.12,temas como tú me quieras llamar yo sé
478,478,1300.12,1302.52,quién soy o sea no tengo como ese tema
479,479,1302.52,1305.549,entonces dictó me dice es que si tú te
480,480,1305.549,1307.41,disfrazas de mujer
481,481,1307.41,1309.66,o sea para mí es como el entiendo que tú
482,482,1309.66,1311.64,lo veas así o sea no me afecta pero
483,483,1311.64,1313.65,sabes que esta generación de cristal
484,484,1313.65,1316.17,está como muy potente ahorita virtuales
485,485,1316.17,1317.94,quieren manejar todo con pinzas pero a
486,486,1317.94,1320.67,ver mi vida la vida no es así o sea la
487,487,1320.67,1322.05,vida no podemos ir poniendo en los
488,488,1322.05,1323.61, y las cosas van a cambiar
489,489,1323.61,1326.07,mágicamente todo llevamos por ese punto
490,490,1326.07,1327.75,a esta relación de cristal hay que
491,491,1327.75,1330.15,enseñarle a ser más fuerte no creo yo
492,492,1330.15,1333.41,que ahora también lo somos noventeros
493,493,1333.41,1335.27,pero
494,494,1335.27,1338.7,yo siento que el bullying de los 90s el
495,495,1338.7,1340.62,bullying que nos tocó a nosotros si era
496,496,1340.62,1343.44,un bullying en verdad fuerte o claro una
497,497,1343.44,1346.05,parte sabes que digo la generación de
498,498,1346.05,1347.88,cristales donde yo lo veo es un
499,499,1347.88,1350.58,resultado ahora la generación de cristal
500,500,1350.58,1353.67,es una generación después de nosotros y
501,501,1353.67,1357.0,una generación antes de nosotros por la
502,502,1357.0,1359.1,que empezó a protestar entonces la
503,503,1359.1,1361.65,generación anterior a nosotros fue donde
504,504,1361.65,1363.39,empezó a sacar garras y empezó como la
505,505,1363.39,1365.58,ley para la mujer y para no sé que el
506,506,1365.58,1367.62,dolor como muchas atrás empezaron con
